cd-hit,0,175.352378421472,213
cd-hit,1,178.322816930885,277
cd-hit,2,279,10
usearch,0,179.125475660983,285
usearch,1,276.358974358974,13
usearch,2,174.522191025073,202
VeGETA,0,16.0989247311828,31
VeGETA,1,13.7807807807808,37
VeGETA,10,281.133333333333,10
VeGETA,11,144.967741935484,31
VeGETA,12,19.0037878787879,33
VeGETA,13,19.1701149425287,30
VeGETA,14,4725,1
VeGETA,15,4725,1
VeGETA,16,4725,1
VeGETA,17,4725,1
VeGETA,18,4725,1
VeGETA,19,4725,1
VeGETA,2,124.708458565908,137
VeGETA,20,4725,1
VeGETA,21,4725,1
VeGETA,22,4725,1
VeGETA,3,10.5454545454545,11
VeGETA,4,19.1238095238095,21
VeGETA,5,32.2451178451178,55
VeGETA,6,11.3933333333333,25
VeGETA,7,70.2456140350877,19
VeGETA,8,106.320056899004,38
VeGETA,9,138.022222222222,10
